R00001	polyphosphate polyphosphohydrolase; Polyphosphate + n H2O <=> (n+1) Oligophosphate
R08718	G00595 + H2O <=> G00971 + D-Mannose
R08721	(24S)-cholest-5-ene-3beta,7alpha,24-triol:NAD+ 3-oxidoreductase; (24S)-Cholest-5-ene-3beta,7alpha,24-triol + NAD+ <=> 7alpha,24-Dihydroxy-4-cholesten-3-one + NADH + H+
R08723	cholest-5-ene-3beta,7alpha,25-triol:NAD+ 3-oxidoreductase; Cholest-5-ene-3beta,7alpha,25-triol + NAD+ <=> 7alpha,25-Dihydroxy-4-cholesten-3-one + NADH + H+
R08724	7alpha,27-dihydroxycholesterol:NAD+ 3-oxidoreductase; 7alpha,27-Dihydroxycholesterol + NAD+ <=> 7alpha,26-Dihydroxy-4-cholesten-3-one + NADH + H+
R08725	7alpha,26-Dihydroxy-4-cholesten-3-one + 2 Oxygen + 2 NADPH + 2 H+ <=> 7alpha-Hydroxy-3-oxo-4-cholestenoate + 2 NADP+ + 3 H2O
R08726	Cholest-5-ene-3beta,26-diol + 2 Oxygen + 2 NADPH + 2 H+ <=> 3beta-Hydroxy-5-cholestenoate + 2 NADP+ + 3 H2O
R08727	3beta-hydroxy-5-cholestenoate,NADPH:oxygen oxidoreductase (7alpha-hydroxylating); 3beta-Hydroxy-5-cholestenoate + Oxygen + NADPH + H+ <=> 3beta,7alpha-Dihydroxy-5-cholestenoate + NADP+ + H2O
R08728	3beta,7alpha-dihydroxy-5-cholestenoate:NAD+ 3-oxidoreductase; 3beta,7alpha-Dihydroxy-5-cholestenoate + NAD+ <=> 7alpha-Hydroxy-3-oxo-4-cholestenoate + NADH + H+
R08733	3alpha,7alpha,12alpha-trihydroxy-5beta-cholestanoate:CoA ligase (AMP-forming); 3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestanoate + ATP + CoA <=> (25R)-3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestan-26-oyl-CoA + AMP + Diphosphate
R08734	3alpha,7alpha,12alpha-trihydroxy-5beta-cholestan-26-oyl-CoA 25-epimerase; (25R)-3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestan-26-oyl-CoA <=> (25S)-3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestan-26-oyl-CoA
R08735	(25S)-3alpha,7alpha,12alpha-trihydroxy-5beta-cholestan-26-oyl-CoA:acceptor 24,25-oxidoreductase; (25S)-3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestan-26-oyl-CoA + Acceptor <=> (24E)-3alpha,7alpha,12alpha-Trihydroxy-5beta-cholest-24-enoyl-CoA + Reduced acceptor
R08738	3alpha,7alpha-dihydroxy-5beta-cholestanate:CoA ligase (AMP-forming); 3alpha,7alpha-Dihydroxy-5beta-cholestanate + ATP + CoA <=> (25R)-3alpha,7alpha-Dihydroxy-5beta-cholestanoyl-CoA + AMP + Diphosphate
R08739	3alpha,7alpha-dihydroxy-5beta-cholestanoyl-CoA 25-epimerase; (25R)-3alpha,7alpha-Dihydroxy-5beta-cholestanoyl-CoA <=> (25S)-3alpha,7alpha-Dihydroxy-5beta-cholestanoyl-CoA
R08740	(25S)-3alpha,7alpha-dihydroxy-5beta-cholestanoyl-CoA:acceptor 24,25-oxidoreductase; (25S)-3alpha,7alpha-Dihydroxy-5beta-cholestanoyl-CoA + Acceptor <=> (24E)-3alpha,7alpha-Dihydroxy-5beta-cholest-24-enoyl-CoA + Reduced acceptor
R08743	chenodeoxycholate:CoA ligase (AMP-forming); Chenodeoxycholoyl-CoA + AMP + Diphosphate <=> Chenodeoxycholate + CoA + ATP
R08744	3alpha,7alpha-dihydroxy-5beta-cholanoyl-CoA:glycine N-choloyltransferase; chenodeoxycholoyl-CoA:glycine N-chenodeoxycholoyltransferase; Chenodeoxycholoyl-CoA + Glycine <=> Glycochenodeoxycholate + CoA
R08745	3alpha,7alpha-dihydroxy-5beta-cholanoyl-CoA:taurine N-choloyltransferase; chenodeoxycholoyl-CoA:taurine N-chenodeoxycholoyltransferase; Chenodeoxycholoyl-CoA + Taurine <=> Taurochenodeoxycholate + CoA
R08746	2-trans,6-trans-farnesyl-diphosphate 2-cis-trans-isomerase; trans,trans-Farnesyl diphosphate <=> 2-cis,6-trans-Farnesyl diphosphate
R08747	(E)-nonaprenyl-diphosphate:isopentenyl-diphosphate nonaprenyltranstransferase; all-trans-nonaprenyl-diphosphate:isopentenyl-diphosphate nonaprenyltranstransferase; all-trans-Nonaprenyl diphosphate + Isopentenyl diphosphate <=> all-trans-Decaprenyl diphosphate + Diphosphate
R08748	trans,trans,cis-geranylgeranyl-diphosphate:isopentenyl-diphosphate geranylgeranylcistransferase; geranylneryl-diphosphate:isopentenyl-diphosphate geranylnerylcistransferase; trans,trans,cis-Geranylgeranyl diphosphate + Isopentenyl diphosphate <=> di-trans,poly-cis-Pentaprenyl diphosphate + Diphosphate
R08749	ditrans,dicis-pentaprenyl-diphosphate:isopentenyl-diphosphate pentaprenylcistransferase; di-trans,poly-cis-Pentaprenyl diphosphate + Isopentenyl diphosphate <=> di-trans,poly-cis-Hexaprenyl diphosphate + Diphosphate
R08750	ditrans,tricis-hexaprenyl-diphosphate:isopentenyl-diphosphate hexaprenylcistransferase; di-trans,poly-cis-Hexaprenyl diphosphate + Isopentenyl diphosphate <=> di-trans,poly-cis-Heptaprenyl diphosphate + Diphosphate
R08751	ditrans,tetracis-heptaprenyl-diphosphate:isopentenyl-diphosphate heptaprenylcistransferase; di-trans,poly-cis-Heptaprenyl diphosphate + Isopentenyl diphosphate <=> di-trans,poly-cis-Octaprenyl diphosphate + Diphosphate
R08752	ditrans,pentacis-octaprenyl-diphosphate:isopentenyl-diphosphate octaprenylcistransferase; di-trans,poly-cis-Octaprenyl diphosphate + Isopentenyl diphosphate <=> di-trans,poly-cis-Nonaprenyl diphosphate + Diphosphate
R08753	ditrans,hexacis-nonaprenyl-diphosphate:isopentenyl-diphosphate nonaprenylcistransferase; di-trans,poly-cis-Nonaprenyl diphosphate + Isopentenyl diphosphate <=> di-trans,poly-cis-Decaprenyl diphosphate + Diphosphate
R08754	dihydrogeranylgeranyl-diphosphate:NADP+ oxidoreductase; Geranylgeranyl diphosphate + NADPH + H+ <=> Dihydrogeranylgeranyl diphosphate + NADP+
R08755	tetrahydrogeranylgeranyl-diphosphate:NADP+ oxidoreductase; Dihydrogeranylgeranyl diphosphate + NADPH + H+ <=> Tetrahydrogeranylgeranyl diphosphate + NADP+
R08756	phytyl-diphosphate:NADP+ oxidoreductase; Tetrahydrogeranylgeranyl diphosphate + NADPH + H+ <=> Phytyl diphosphate + NADP+
R08757	hydroxylamine:ubiquinone oxidoreductase; hydroxylamine oxidase; Hydroxylamine + 2 Ubiquinone + H2O <=> Nitrite + 2 Ubiquinol
R08758	3alpha,7alpha,26-Trihydroxy-5beta-cholestane <=> 3alpha,7alpha-Dihydroxy-5beta-cholestan-26-al
R08759	3alpha,7alpha,12alpha,26-Tetrahydroxy-5beta-cholestane <=> 3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestan-26-al
R08760	3alpha,7alpha-Dihydroxy-5beta-cholestan-26-al + Oxygen + 2 H+ + 2 Reduced adrenal ferredoxin <=> 3alpha,7alpha-Dihydroxy-5beta-cholestanate + H2O + 2 Oxidized adrenal ferredoxin
R08761	3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestan-26-al + Oxygen + 2 H+ + 2 Reduced adrenal ferredoxin <=> 3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestanoate + H2O + 2 Oxidized adrenal ferredoxin
R08762	2-aminophenol:oxygen oxidoreductase; 2 2-Aminophenol + Oxygen <=> 2 6-Iminocyclohexa-2,4-dienone + 2 H2O
R08763	6-iminocyclohexa-2,4-dienone oxidoreductase (dimerizing); 2 6-Iminocyclohexa-2,4-dienone + Acceptor <=> 2-Aminophenoxazin-3-one + Reduced acceptor
R08764	6-hydroxynicotinate,NADH:oxygen oxidoreductase (3-hydroxylating, decarboxylating); 6-Hydroxynicotinate + NADH + Oxygen + H+ <=> 2,5-Dihydroxypyridine + NAD+ + CO2 + H2O
R08765	deoxyribocyclobutadithymine thymine-lyase; Thymine dimer <=> Two thymine residues (in DNA)
R08766	3-(4-hydroxyphenyl)lactate hydro-lyase (4-coumarate-forming); (R)-3-(4-Hydroxyphenyl)lactate <=> 4-Coumarate + H2O
R08767	p-Coumaroyl-CoA + CoA + NAD+ + H2O <=> 4-Hydroxybenzoyl-CoA + Acetyl-CoA + NADH + H+
R08768	2-(all-trans-polyprenyl)phenol,NADPH:oxygen oxidoreductase (6-hydroxylating); 2-Polyprenylphenol + NADPH + H+ + Oxygen <=> 2-Polyprenyl-6-hydroxyphenol + NADP+ + H2O
R08769	S-adenosyl-L-methionine:2-polyprenyl-6-hydroxyphenol 6-O-methyltransferase; S-adenosyl-L-methionine:3-(all-trans-polyprenyl)benzene-1,2-diol 2-O-methyltransferase; 2-Polyprenyl-6-hydroxyphenol + S-Adenosyl-L-methionine <=> 2-Polyprenyl-6-methoxyphenol + S-Adenosyl-L-homocysteine
R08770	4-Hydroxy-3-polyprenylbenzoate + Oxygen <=> 3,4-Dihydroxy-5-polyprenylbenzoate + H2O
R08771	S-adenosyl-L-methionine:3,4-dihydroxy-5-polyprenylbenzoate 3-O-methyltransferase; 3,4-Dihydroxy-5-polyprenylbenzoate + S-Adenosyl-L-methionine <=> 3-Methoxy-4-hydroxy-5-polyprenylbenzoate + S-Adenosyl-L-homocysteine
R08772	3-polyprenyl-4-hydroxy-5-methoxybenzoate carboxy-lyase (2-polyprenyl-6-methoxyphenol-forming); 3-Methoxy-4-hydroxy-5-polyprenylbenzoate <=> 2-Polyprenyl-6-methoxyphenol + CO2
R08776	glycyl-tRNA:undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-isoglutaminyl-L-lysyl-D-alanyl-D-alanine N6-glycyltransferase; Glycyl-tRNA(Gly) + Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-isoglutaminyl-L-lysyl-D-alanyl-D-alanine <=> tRNA(Gly) + Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-isoglutaminyl-L-lysyl-(glycyl)-D-alanyl-D-alanine
R08777	glycyl-tRNA:undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-isoglutaminyl-L-lysyl-(glycyl)-D-alanyl-D-alanine glycyltransferase; 2 Glycyl-tRNA(Gly) + Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-isoglutaminyl-L-lysyl-(glycyl)-D-alanyl-D-alanine <=> 2 tRNA(Gly) + Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-isoglutaminyl-L-lysyl-(glycyl)3-D-alanyl-D-alanine
R08778	glycyl-tRNA:undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-isoglutaminyl-L-lysyl-(glycyl)3-D-alanyl-D-alanine glycyltransferase; 2 Glycyl-tRNA(Gly) + Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-isoglutaminyl-L-lysyl-(glycyl)3-D-alanyl-D-alanine <=> 2 tRNA(Gly) + Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-isoglutaminyl-L-lysyl-(glycyl)5-D-alanyl-D-alanine
R08779	L-alanyl-tRNA:undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine N6-alanyltransferase; L-Alanyl-tRNA + Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine <=> tRNA(Ala) + Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-(L-alanyl)-D-alanyl-D-alanine
R08780	L-alanyl-tRNA:undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-(L-alanyl)-D-alanyl-D-alanine alanyltransferase; L-Alanyl-tRNA + Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-(L-alanyl)-D-alanyl-D-alanine <=> tRNA(Ala) + Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-(L-alanyl-L-alanyl)-D-alanyl-D-alanine
R08782	all-trans-nonaprenyl-diphosphate:homogentisate nonaprenyltransferase (decarboxylating); Homogentisate + all-trans-Nonaprenyl diphosphate <=> 2-Methyl-6-solanyl-1,4-benzoquinol + Diphosphate + CO2
R08784	1,8-cineole,[reduced flavodoxin]:oxygen oxidoreductase (2-endo-hydroxylating); 1,8-Cineole + Reduced flavodoxin + Oxygen <=> 6-endo-Hydroxycineole + Oxidized flavodoxin + H2O
R08785	geraniol,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (8-hydroxylating); Geraniol + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> (6E)-8-Hydroxygeraniol + [Oxidized NADPH---hemoprotein reductase] + H2O
R08787	S-adenosyl-L-methionine:(S)-reticuline 7-O-methyltransferase; (S)-Reticuline + S-Adenosyl-L-methionine <=> Laudanine + S-Adenosyl-L-homocysteine
R08788	S-adenosyl-L-methionine:(R)-reticuline 7-O-methyltransferase; (R)-Reticuline + S-Adenosyl-L-methionine <=> Laudanine + S-Adenosyl-L-homocysteine
R08789	S-adenosyl-L-methionine:(S)-canadine N-methyltransferase; S-Adenosyl-L-methionine + (S)-Canadine <=> S-Adenosyl-L-homocysteine + (S)-cis-N-Methylcanadine
R08790	(S)-reticuline,NADPH:oxygen oxidoreductase (C-C phenol-coupling; (S)-corytuberine-forming); (S)-Reticuline + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> (S)-Corytuberine + [Oxidized NADPH---hemoprotein reductase] + 2 H2O
R08791	S-adenosyl-L-methionine:(S)-corytuberine N-methyltransferase; (S)-Corytuberine + S-Adenosyl-L-methionine <=> Magnoflorine + S-Adenosyl-L-homocysteine
R08792	chain-elongation cycle; Amino acid <=> Homoamino acid
R08794	S-Adenosyl-L-methionine + (S)-6-O-Methylnorlaudanosoline <=> S-Adenosyl-L-homocysteine + 3'-Hydroxy-N-methyl-(S)-coclaurine
R08795	tetrahydropalmatine:oxygen oxidoreductase; Tetrahydropalmatine + 2 Oxygen + H+ <=> Palmatine + 2 Hydrogen peroxide
R08796	p-Coumaroyl-CoA + Malonyl-CoA + Hexanoyl-CoA + H2O <=> 1-(4-Hydroxyphenyl)-1-decene-3,5-dione + 3 CoA + 2 CO2
R08797	Feruloyl-CoA + Malonyl-CoA + Hexanoyl-CoA + H2O <=> 1-Dehydro-[6]-gingerdione + 3 CoA + 2 CO2
R08798	1-(4-Hydroxyphenyl)-1-decene-3,5-dione <=> 5-Hydroxy-1-(4-hydroxyphenyl)-3-decanone
R08799	1-(3,4-Dihydroxyphenyl)-1-decene-3,5-dione <=> 1-(3,4-Dihydroxyphenyl)-5-hydroxy-3-decanone
R08800	1-Dehydro-[6]-gingerdione <=> [6]-Gingerol
R08801	1-(4-Hydroxyphenyl)-1-decene-3,5-dione <=> 1-(3,4-Dihydroxyphenyl)-1-decene-3,5-dione
R08802	5-Hydroxy-1-(4-hydroxyphenyl)-3-decanone <=> 1-(3,4-Dihydroxyphenyl)-5-hydroxy-3-decanone
R08803	S-adenosyl-L-methionine:1-(3,4-dihydroxyphenyl)-1-decene-3,5-dione O-methyltransferase; 1-(3,4-Dihydroxyphenyl)-1-decene-3,5-dione + S-Adenosyl-L-methionine <=> 1-Dehydro-[6]-gingerdione + S-Adenosyl-L-homocysteine
R08804	S-adenosyl-L-methionine:1-(3,4-dihydroxyphenyl)-5-hydroxy-3-decanone O-methyltransferase; 1-(3,4-Dihydroxyphenyl)-5-hydroxy-3-decanone + S-Adenosyl-L-methionine <=> [6]-Gingerol + S-Adenosyl-L-homocysteine
R08805	p-coumaroyl-CoA:malonyl-CoA C-coumaroyltransferase (decarboxylating); p-Coumaroyl-CoA + Malonyl-CoA <=> p-Coumaroyl-diketide-CoA + CoA + CO2
R08806	feruloyl-CoA:malonyl-CoA C-feruloyltransferase (decarboxylating); Feruloyl-CoA + Malonyl-CoA <=> Feruloyl-diketide-CoA + CoA + CO2
R08807	p-coumaroyl-CoA:p-coumaroyl-diketide-CoA C-coumaroyltransferase (thioester-hydrolysing and decarboxylating); p-Coumaroyl-diketide-CoA + p-Coumaroyl-CoA + H2O <=> Bisdemethoxycurcumin + 2 CoA + CO2
R08808	feruloyl-CoA:p-coumaroyl-diketide-CoA C-feruloyltransferase (thioester-hydrolysing and decarboxylating); p-Coumaroyl-diketide-CoA + Feruloyl-CoA + H2O <=> Demethoxycurcumin + 2 CoA + CO2
R08809	p-coumaroyl-CoA:feruloyl-diketide-CoA C-coumaroyltransferase (thioester-hydrolysing and decarboxylating); Feruloyl-diketide-CoA + p-Coumaroyl-CoA + H2O <=> Demethoxycurcumin + 2 CoA + CO2
R08810	feruloyl-CoA:feruloylacetyl-CoA feruloyltransferase (curcumin-forming); Feruloyl-diketide-CoA + Feruloyl-CoA + H2O <=> Curcumin + 2 CoA + CO2
R08811	Bisdemethoxycurcumin <=> Demethoxycurcumin
R08812	Demethoxycurcumin <=> Curcumin
R08813	UDP-glucose:curcumin glucosyltransferase; Curcumin + UDP-glucose <=> Curcumin monoglucoside + UDP
R08814	UDP-glucose:curcumin-monoglucoside glucosyltransferase; Curcumin monoglucoside + UDP-glucose <=> Curcumin diglucoside + UDP
R08815	cinnamoyl-CoA,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (4-hydroxylating); Cinnamoyl-CoA + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> p-Coumaroyl-CoA + [Oxidized NADPH---hemoprotein reductase] + H2O
R08816	UDP-glucose:2,3-dihydro-5,6-dihydroxyindole-2-carboxylate 5-O-beta-D-glucosyltransferase; 2-Carboxy-2,3-dihydro-5,6-dihydroxyindole + UDP-glucose <=> cyclo-Dopa 5-O-glucoside + UDP
R08817	UDP-glucuronate:cyclo-DOPA-5-O-glucoside 2'-O-beta-D-glucuronosyltransferase; cyclo-Dopa 5-O-glucoside + UDP-glucuronate <=> cyclo-Dopa-glucuronylglucoside + UDP
R08818	cyclo-Dopa-glucuronylglucoside + Betalamic acid <=> Amaranthin + H2O
R08819	1-O-feruloyl-beta-D-glucose:amaranthin feruloyltransferase; Amaranthin + 1-O-Feruloyl-beta-D-glucose <=> Celosianin II + D-Glucose
R08820	cyclo-Dopa 5-O-glucoside + Betalamic acid <=> Betanin + H2O
R08821	2-Carboxy-2,3-dihydro-5,6-dihydroxyindole + Betalamic acid <=> Betanidin + H2O
R08822	UDP-glucose:betanidin 5-O-beta-D-glucosyltransferase; Betanidin + UDP-glucose <=> Betanin + UDP
R08823	1-O-feruloyl-beta-D-glucose:betanin feruloyltransferase; Betanin + 1-O-Feruloyl-beta-D-glucose <=> Lampranthin II + D-Glucose
R08824	UDP-glucuronate:betanin beta-D-glucuronosyltransferase; Betanin + UDP-glucuronate <=> Amaranthin + UDP
R08825	L-Tyrosine + Betalamic acid <=> Portulacaxanthin II + H2O
R08826	portulacaxanthin-II,dopaxanthin:oxygen oxidoreductase; Portulacaxanthin II + Oxygen + Dopaxanthin <=> Dopaxanthin + H2O + Dopaxanthin quinone
R08827	3,4-Dihydroxy-L-phenylalanine + Betalamic acid <=> Dopaxanthin + H2O
R08828	dopaxanthin:oxygen oxidoreductase; 2 Dopaxanthin + Oxygen <=> 2 Dopaxanthin quinone + 2 H2O
R08829	Dopaxanthin quinone <=> Betanidin
R08830	UDP-glucose:betanidin 6-O-beta-D-glucosyltransferase; Betanidin + UDP-glucose <=> Gomphrenin-I + UDP
R08831	3-Methoxytyramine + Betalamic acid <=> 3-Methoxytyramine-betaxanthin + H2O
R08832	dopamine:oxygen oxidoreductase; 2 Dopamine + Oxygen <=> 2 Dopamine quinone + 2 H2O
R08833	Dopamine quinone <=> 2-Descarboxy-cyclo-dopa
R08834	2-Descarboxy-cyclo-dopa + Betalamic acid <=> 2-Descarboxy-betanidin + H2O
R08835	Dopamine + Betalamic acid <=> Miraxanthin-V + H2O
R08836	3,4-dihydroxy-L-phenylalanine:oxygen 4,5-oxidoreductase (decyclizing); 3,4-Dihydroxy-L-phenylalanine + Oxygen <=> 4,5-seco-Dopa
R08837	4,5-seco-Dopa <=> Betalamic acid + H2O
R08838	benzoate,NADPH:oxygen oxidoreductase (2-hydroxylating); Benzoate + NADPH + Oxygen <=> Salicylate + NADP+ + H2O
R08839	UDP-glucose:ferulate D-glucosyltransferase; UDP-glucose + Ferulate <=> 1-O-Feruloyl-beta-D-glucose + UDP
R08840	teasterone,NADPH---hemoprotein reductase:oxygen oxidoreductase (lactonizing, 7-oxateasterone-forming); Teasterone + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> 7-Oxateasterone + [Oxidized NADPH---hemoprotein reductase] + 2 H2O
R08841	typhasterol,NADPH---hemoprotein reductase:oxygen oxidoreductase (lactonizing, 7-oxatyphasterol-forming); Typhasterol + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> 7-Oxatyphasterol + [Oxidized NADPH---hemoprotein reductase] + 2 H2O
R08842	7-Oxateasterone <=> 7-Oxatyphasterol
R08843	1-Guanidino-1-deoxy-scyllo-inositol <=> 1D-1-Guanidino-1-deoxy-3-dehydro-scyllo-inositol
R08844	ATP:1D-1-guanidino-3-amino-1,3-dideoxy-scyllo-inositol 6-phosphotransferase; ATP + 1D-1-Guanidino-3-amino-1,3-dideoxy-scyllo-inositol <=> ADP + N1-Amidinostreptamine 6-phosphate
R08845	UTP:monosaccharide-1-phosphate uridylyltransferase; UTP + alpha-D-Aldose 1-phosphate <=> Diphosphate + UDP-sugar
R08846	3,4-dihydroxy-L-phenylalanine ammonia-lyase (3,4-dihydroxyphenylpropanoate-forming); 3,4-Dihydroxy-L-phenylalanine + NADH + H+ <=> 3,4-Dihydroxyphenylpropanoate + NAD+ + Ammonia
R08847	3,4-Dihydroxyphenylpropanoate <=> (R)-3-(3,4-Dihydroxyphenyl)lactate
R08848	Dopaquinone + L-Cysteine <=> Cysteinyldopa
R08849	Cysteinyldopa <=> Phaeomelanin
R08850	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl-D-alanine carboxypeptidase; UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl-D-alanine + H2O <=> UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimeloyl-D-alanine + D-Alanine
R08851	(+)-epi-isozizaene,reduced-ferredoxin:oxygen oxidoreductase (5S-hydroxylating); (+)-epi-Isozizaene + 2 Reduced [2Fe-2S] ferredoxin + 2 H+ + Oxygen <=> (5S)-Albaflavenol + 2 Oxidized [2Fe-2S] ferredoxin + H2O
R08852	(5S)-albaflavenol,reduced-ferredoxin:oxygen oxidoreductase; (5S)-Albaflavenol + 2 Reduced [2Fe-2S] ferredoxin + 2 H+ + Oxygen <=> Albaflavenone + 2 Oxidized [2Fe-2S] ferredoxin + 2 H2O
R08853	(+)-epi-isozizaene,reduced-ferredoxin:oxygen oxidoreductase (5R-hydroxylating); (+)-epi-Isozizaene + 2 Reduced [2Fe-2S] ferredoxin + 2 H+ + Oxygen <=> (5R)-Albaflavenol + 2 Oxidized [2Fe-2S] ferredoxin + H2O
R08854	(5R)-albaflavenol,reduced-ferredoxin:oxygen oxidoreductase; (5R)-Albaflavenol + 2 Reduced [2Fe-2S] ferredoxin + 2 H+ + Oxygen <=> Albaflavenone + 2 Oxidized [2Fe-2S] ferredoxin + 2 H2O
R08855	undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine:L-glutamine amido-ligase (ADP-forming); Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine + L-Glutamine + ATP + H2O <=> Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-isoglutaminyl-L-lysyl-D-alanyl-D-alanine + L-Glutamate + ADP + Orthophosphate
R08856	UDP-N-acetyl-D-glucosamine:undecaprenyl-phosphate N-acetyl-D-glucosamine phosphotransferase; UDP-N-acetyl-alpha-D-glucosamine + di-trans,poly-cis-Undecaprenyl phosphate <=> N-Acetyl-D-glucosaminyldiphosphoundecaprenol + UMP
R08857	dTDP-L-rhamnose:alpha-D-galactosyl-diphosphoundecaprenol L-rhamnosyltransferase; alpha-D-Galactosyl-diphosphoundecaprenol + dTDP-L-rhamnose <=> alpha-L-Rhamnosyl-(1->3)-alpha-D-galactosyl-diphosphoundecaprenol + dTDP
R08858	GDP-D-mannose:alpha-L-rhamnosyl-(1->3)-alpha-D-galactosyl-diphosphoundecaprenol D-mannosyltransferase; alpha-L-Rhamnosyl-(1->3)-alpha-D-galactosyl-diphosphoundecaprenol + GDP-mannose <=> alpha-D-Mannosyl-(1->4)-alpha-L-rhamnosyl-(1->3)-alpha-D-galactosyl-diphosphoundecaprenol + GDP
R08859	UDP-glucose:limonoate-A-ring-lactone glucosyltransferase; Limonoate A-ring-lactone + UDP-glucose <=> Glucosyl-limonin + UDP
R08861	Phosphonoacetaldehyde + NADPH + H+ <=> 2-Hydroxyethylphosphonate + NADP+
R08862	methylcobalamin:2-hydroxyethylphosphonate C-methyltransferase; 2-Hydroxyethylphosphonate + Methylcobalamin + S-Adenosyl-L-methionine + H+ + e- <=> (S)-2-Hydroxypropylphosphonate + Cob(II)alamin + 5'-Deoxyadenosine + L-Methionine
R08863	(S)-2-hydroxypropylphosphonate,NADH:oxygen epoxidase; (S)-2-Hydroxypropylphosphonate + Hydrogen peroxide <=> Fosfomycin + 2 H2O
R08864	2-hydroxyethylphosphonate:O2 1,2-oxidoreductase (hydroxymethylphosphonate forming); 2-Hydroxyethylphosphonate + Oxygen <=> Hydroxymethylphosphonate + Formate
R08865	Hydroxymethylphosphonate <=> Formylphosphonate
R08866	Formylphosphonate <=> Phosphonoformate
R08867	CTP:phosphonoformate cytidylyltransferase; Phosphonoformate + CTP <=> Phosphonoformyl-CMP + Diphosphate
R08868	1-carboxyvinyl carboxyphosphonate phosphorylmutase; 1-Carboxyvinyl carboxyphosphonate <=> Carboxyphosphonopyruvate
R08869	carboxyphosphonopyruvate carboxy-lyase; Carboxyphosphonopyruvate <=> 3-(Hydrohydroxyphosphoryl)pyruvate + CO2
R08870	acetyl-CoA:phosphinopyruvate C-acetyltransferase (thioester-hydrolysing, carboxymethyl forming); 3-(Hydrohydroxyphosphoryl)pyruvate + Acetyl-CoA + H2O <=> 2-Phosphinomethylmalate + CoA
